Season,Date,Team Name,Opponent,Location,Outcome,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,End 1,End 2,End 3,End 4,End 5,End 6,End 7,End 8,End 9,End 10
2024-2025,11/11/2024,Monday Fam,Bailey,Denver Curling Club,Win,D,Yellow,Social Leauge,8,7,+1H,-2N,+1H,+2N,+1N,-1N,+1H,,,
2024-2025,11/15/2024,Womens Mix,Soup with Rice,Coyotes Curling Club,Loss,B,Yellow,Bonspiel,8,7,-1N,+1H,+1N,+1N,-4N,-2H,-2H,,,
2024-2025,11/16/2024,Womens Mix,Pour Decisions,Coyotes Curling Club,Loss,B,Red,Bonspiel,8,7,-1H,-1H,+3H,-4N,+2H,-1N,-2H,,,
2024-2025,11/16/2024,Womens Mix,Team Reid,Coyotes Curling Club,Win,B,Yellow,Bonspiel,8,6,+5H,-2N,+1H,-2N,+3H,+3N,,,,
2024-2025,11/17/2024,Womens Mix,"Fiesta, Siesta, Tequila, Repeat",Coyotes Curling Club,Loss,B,Yellow,Bonspiel,8,9,+1N,+2N,-2N,+1H,-1N,-1H,+1H,-1N,-1H,
2024-2025,11/18/2024,Monday Fam,Wenzel,Denver Curling Club,Win,D,Yellow,Social Leauge,8,7,-1N,-1H,+1H,-1N,+4H,+1N,+3N,,,
2024-2025,11/19/2024,Tuesday_Sobering,Moir,Denver Curling Club,Loss,A,Yellow,Competitive League,8,7,-1N,+2H,-1N,-1H,+1H,-2N,+1H,,,
2024-2025,11/22/2024,Subbing,FAC,Denver Curling Club,Win,B,Red,Social Leauge,8,8,-1N,+1H,+1N,-1N,+5H,+2N,+1N,-1N,,
2024-2025,12/2/2024,Monday Fam,Weldon,Denver Curling Club,Loss,B,Red,Social Leauge,8,4,-6N,-2H,+1H,+1N,,,,,,
2024-2025,12/5/2024,Womens Mix,Marcantano,Denver Curling Club,Win,D,Yellow,Bonspiel,8,6,+1H,+1N,-1N,+3H,+3N,+2N,,,,
2024-2025,12/7/2024,Womens Mix,Bucci,Denver Curling Club,Win,B,Yellow,Bonspiel,8,9,-1N,+2H,+1N,-1N,+3H,-1N,-2N,-1H,+1H,
2024-2025,12/7/2024,Womens Mix,Mechenbrier,Denver Curling Club,Loss,D,Yellow,Bonspiel,8,6,-2H,+1H,-5N,+3H,-2N,+1H,,,,
2024-2025,12/9/2024,Monday Fam,Thomas,Denver Curling Club,Win,A,Yellow,Social Leauge,8,8,-2N,+2H,-1N,+1H,+1N,-1N,+1H,+2N,,
2024-2025,12/10/2024,Tuesday_Sobering,Moir,Denver Curling Club,Win,B,Yellow,Competitive League,8,7,-3N,+1H,+2N,+1N,+1N,+3N,+2N,,,
2024-2025,12/11/2024,Subbing,Scrimmage,Rock Creek Curling,Win,D,Green,Social Leauge,8,6,+2N,-1N,+2H,-1N,-1H,+4H,,,,
2024-2025,12/12/2024,Subbing,Thurs Day,Denver Curling Club,Win,B,Red,Social Leauge,8,8,+3H,+1N,-1N,+4H,+3N,+3N,+1N,+1N,,
2024-2025,12/13/2024,Womens Mix,Smith,Rock Creek Curling,Win,F,Green,Playdowns,8,8,+2H,+1N,-1N,-1H,+1H,-1N,+2H,-1N,,
2024-2025,12/13/2024,Womens Mix,Bradshaw,Rock Creek Curling,Win,D,Green,Playdowns,8,6,+5H,-1N,+2H,-1N,-2H,+4H,,,,
2024-2025,12/14/2024,Womens Mix,Stavely,Rock Creek Curling,Win,B,Green,Playdowns,8,6,+1H,+2N,-1N,+1H,+2N,-1N,,,,
2024-2025,12/14/2024,Womens Mix,Henning,Rock Creek Curling,Win,E,Yellow,Playdowns,8,8,0H,-1H,+2H,+2N,-3N,+1H,-1N,+4H,,
2024-2025,12/14/2024,Womens Mix,Segovia,Rock Creek Curling,Win,C,Yellow,Playdowns,8,7,+3N,-1N,+2H,+1N,-1N,-1H,+1H,,,
2024-2025,12/15/2024,Womens Mix,Segovia,Rock Creek Curling,Loss,D,Green,Playdowns,8,7,-1N,-1H,+1H,0N,0N,0N,-2N,,,
2024-2025,12/15/2024,Womens Mix,Segovia,Rock Creek Curling,Loss,C,Green,Playdowns,8,8,+2H,-3N,-2H,+1H,-2N,+3H,+2N,-2N,,
2024-2025,12/16/2024,Monday Fam,Dunn,Denver Curling Club,Win,A,Yellow,Social Leauge,8,6,+3H,+1N,-1N,+1H,+2N,+2N,,,,
2024-2025,12/17/2024,Tuesday_Sobering,Bata,Denver Curling Club,Loss,C,Red,Competitive League,8,7,-1N,-1H,-1H,+4H,-1N,-2H,-1H,,,
2024-2025,1/6/2025,Monday Fam,Hobbs,Denver Curling Club,Loss,C,Red,Social Leauge,8,6,-1H,-1H,-2H,-2H,+1H,-1N,,,,
2024-2025,1/7/2025,Tuesday_Sobering,Wishart,Denver Curling Club,Win,C,Yellow,Competitive League,8,7,-2H,+2H,-3N,+3H,0N,+3N,+2N,,,
2024-2025,1/9/2025,Subbing,Thurs Day,Denver Curling Club,Loss,B,Yellow,Social Leauge,8,7,-1N,+1H,-1N,-2H,+3H,+1N,-5N,,,
2024-2025,1/10/2025,Subbing,FAC,Denver Curling Club,Loss,A,Yellow,Social Leauge,8,8,+3N,+1N,+2N,-1N,-3H,-1H,-1H,-1H,,
2024-2025,1/10/2025,Subbing,FAC,Denver Curling Club,Loss,C,Yellow,Social Leauge,8,8,-1N,+3H,+3H,-1N,-2H,+1H,-4N,-1H,,
2024-2025,1/13/2025,Monday Fam,Henney,Denver Curling Club,Win,C,Yellow,Social Leauge,8,7,+2H,-1N,+2H,0N,+3N,+1N,+1N,,,
2024-2025,1/14/2025,Tuesday_Sobering,Culbertson,Denver Curling Club,Win,B,Yellow,Competitive League,8,8,+2N,+1N,-2N,-2H,+2H,-1N,-1H,+1H,,
2024-2025,1/16/2025,Thursday Women,Hawlucha,Rock Creek Curling,Win,B,Green,Competitive League,8,7,+2H,-1N,-1H,+1H,-1N,-1H,+3H,,,
2024-2025,1/21/2025,Tuesday_Sobering,Wolfe,Denver Curling Club,Win,D,Yellow,Competitive League,8,6,+1N,-1N,+2H,+1N,+4N,+2N,,,,
2024-2025,1/23/2025,Thursday Women,Gourgeist,Rock Creek Curling,Win,D,Green,Competitive League,8,7,-1H,+1H,+1N,+1N,+1N,-1N,+1H,,,
2024-2025,1/23/2025,Subbing,Thurs Day,Denver Curling Club,Loss,C,Yellow,Social Leauge,8,7,-2N,-2H,-2H,+2H,-2N,-1H,-2H,,,
2024-2025,1/24/2025,Subbing,Wilson,Rock Creek Curling,Win,D,Green,Bonspiel,8,8,+3H,-1N,+2H,-1N,+1H,+1N,-2N,+1H,,
2024-2025,1/25/2025,Subbing,Connell,Rock Creek Curling,Win,A,Yellow,Bonspiel,8,6,-1N,-1H,-2H,+3H,+1N,+3N,,,,
2024-2025,1/25/2025,Subbing,Stavely,Rock Creek Curling,Loss,F,Yellow,Bonspiel,8,7,-1N,+2N,-2H,+2H,-3N,-1H,+1H,,,
2024-2025,1/26/2025,Subbing,Cotter,Rock Creek Curling,Win,E,Green,Bonspiel,8,6,-1N,+4H,+1N,+2N,+5N,-1N,,,,
2024-2025,1/26/2025,Subbing,Lewis,Rock Creek Curling,Win,C,Green,Bonspiel,8,8,+1N,+3N,-2N,-1H,-1H,-1H,+3H,+5N,,
2024-2025,1/27/2025,Monday Fam,Maule,Denver Curling Club,Loss,B,Red,Social Leauge,8,7,-2N,-1H,-1H,-2H,+1H,+3N,-2N,,,
2024-2025,1/28/2025,Tuesday_Sobering,Kizlyk,Denver Curling Club,Win,B,Yellow,Competitive League,8,8,+1H,+1N,-2N,+2H,-1N,-1H,+1H,+1H,,
2024-2025,1/30/2025,Thursday Women,Drampa,Rock Creek Curling,Win,A,Green,Competitive League,8,6,+4H,+2N,+3N,-1N,+2H,-1N,,,,
2024-2025,2/3/2025,Monday Fam,Rolison,Denver Curling Club,Win,A,Yellow,Social Leauge,8,7,+1H,0N,-1N,0H,+2H,+1N,-1N,,,
2024-2025,2/6/2025,Thursday Women,Crabominable,Rock Creek Curling,Win,D,Green,Competitive League,8,7,-1N,+3H,-1N,0H,+1H,+1N,-1N,,,
2024-2025,2/11/2025,Tuesday_Sobering,Rose,Denver Curling Club,Win,A,Red,Competitive League,8,7,+4N,+2N,-1N,+3H,-2N,-2H,-2H,,,
2024-2025,2/13/2025,Thursday Women,Flapple,Rock Creek Curling,Loss,F,Green,Competitive League,8,7,-1N,0H,-1H,-1H,-1H,+3H,-5N,,,
2024-2025,2/17/2025,Monday Fam,Wellen,Denver Curling Club,Win,D,Red,Social Leauge,8,7,+3H,0N,-1N,+1H,-1N,+2H,+1N,,,
2024-2025,2/18/2025,Tuesday_Sobering,Sobering,Denver Curling Club,Loss,B,Red,Competitive League,8,6,-2N,+1H,-2N,-1H,-1H,+1H,,,,
2024-2025,2/24/2025,Monday Fam,Lewis,Denver Curling Club,Win,C,Red,Social Leauge,8,7,+3H,-1N,+3H,-3N,+1H,-2N,+3H,,,
2024-2025,3/3/2025,Monday Fam,Mason,Denver Curling Club,Win,A,Red,Social Leauge,8,6,+3H,-1N,+5H,-1N,+2H,-1N,,,,
2024-2025,3/4/2025,Tuesday_Sobering,Suhr,Denver Curling Club,Loss,C,Yellow,Competitive League,8,7,+1N,-1N,0H,-2H,+1H,-2N,+1H,,,
2024-2025,3/10/2025,Monday Fam,Wenzel,Denver Curling Club,Win,C,Yellow,Social Leauge,8,7,+1H,-1N,+1H,-1N,+2H,+4N,-1N,,,
2024-2025,3/11/2025,Tuesday_Sobering,Falco,Denver Curling Club,Loss,D,Yellow,Competitive League,8,4,-3N,-3H,-3H,+3H,,,,,,
2024-2025,3/13/2025,Thursday Women,Aromatisse,Rock Creek Curling,Win,F,Yellow,Competitive League,8,4,+3H,+1N,-1N,+1H,,,,,,
2024-2025,3/17/2025,Monday Fam,Clark,Denver Curling Club,Win,B,Red,Social Leauge,8,6,+3H,+1N,0N,0N,+1N,+4N,,,,
2024-2025,3/18/2025,Tuesday_Sobering,Mansell,Denver Curling Club,Loss,B,Yellow,Competitive League,8,6,-2N,-2H,-1H,-1H,-1H,+1H,,,,
2024-2025,3/20/2025,Thursday Women,Pyukumuku,Rock Creek Curling,Win,C,Green,Competitive League,8,7,+1N,-1N,-2H,+4H,-1N,-2H,+5H,,,
2024-2025,3/31/2025,Monday Fam,Weldon,Denver Curling Club,Loss,B,Red,Social Leauge,8,9,-2N,+1H,+1N,+2N,-2N,+1H,-2N,+1H,-1N,
2024-2025,4/1/2025,Tuesday_Sobering,Rose,Denver Curling Club,Win,C,Red,Competitive League,8,7,+1H,+1N,+2N,+1N,+1N,+1N,-1N,,,
2025-2026,6/14/2025,Subbing,Roadrunners,Roadrunner Curling Club,Win,West,Red,Bonspiel,6,5,+5H,-1N,-4H,+3H,-1N,,,,,
2025-2026,6/14/2025,Subbing,Roadrunners,Roadrunner Curling Club,Tie,East,Yellow,Bonspiel,6,5,0N,-1N,-3H,+5H,-1N,,,,,
2025-2026,6/14/2025,Subbing,Roadrunners,Roadrunner Curling Club,Loss,West,Red,Bonspiel,6,5,-1N,-2H,+1H,+1N,-2N,,,,,
2025-2026,6/19/2025,Subbing,Thieme,Denver Curling Club,Win,D,Yellow,Bonspiel,8,8,+3N,-1N,+6H,+3N,0N,-1N,+6H,+1N,,
2025-2026,6/20/2025,Subbing,Rum Double Trouble,Denver Curling Club,Win,B,Yellow,Bonspiel,8,8,-1N,+2H,+1N,-1N,+1H,-2N,-1H,+2H,,
2025-2026,6/20/2025,Subbing,Ripe for Disruption,Denver Curling Club,Win,C,Yellow,Bonspiel,8,8,-1N,+1H,+1N,-1N,+3H,+1N,-2N,-1H,,
2025-2026,6/21/2025,Subbing,Under the Boardweight,Denver Curling Club,Loss,C,Green,Bonspiel,8,6,-4N,+1H,-1N,+1H,-3N,-1H,,,,
2025-2026,10/2/2025,Knuckleheads,Animas,Rock Creek Curling,Loss,E,Green,Competitive League,8,6,-5N,-4H,-3H,+3H,-2N,+2H,,,,
2025-2026,10/9/2025,Knuckleheads,Fryingpan,Rock Creek Curling,Loss,F,Green,Competitive League,8,6,-1N,-1H,+3H,-3N,-1H,-2H,,,,
2025-2026,10/16/2025,Knuckleheads,Gunnison,Rock Creek Curling,Win,A,Green,Competitive League,8,6,+2N,-1N,+3H,-1N,+2H,+2N,,,,
2025-2026,10/23/2025,Knuckleheads,Huerfano,Rock Creek Curling,,,,Competitive League,8,,,,,,,,,,,
2025-2026,10/30/2025,Knuckleheads,Dolores,Rock Creek Curling,,,,Competitive League,8,,,,,,,,,,,
2025-2026,11/6/2025,Knuckleheads,Eagle,Rock Creek Curling,,,,Competitive League,8,,,,,,,,,,,
2025-2026,11/13/2025,Knuckleheads,Bear,Rock Creek Curling,,,,Competitive League,8,,,,,,,,,,,
2025-2026,11/20/2025,Knuckleheads,Playoffs,Rock Creek Curling,,,,Competitive League,8,,,,,,,,,,,
2025-2026,10/6/2025,Monday Fam,Wellen,Denver Curling Club,Win,C,Red,Social Leauge,8,6,-1N,+1H,+5N,-1N,+1H,-1N,,,,
2025-2026,10/13/2025,Monday Fam,Devol,Denver Curling Club,Win,A,Yellow,Social Leauge,8,7,+5H,-1N,+3H,+1N,-2N,+3H,-1N,,,
2025-2026,10/20/2025,Monday Fam,Lewis,Denver Curling Club,Win,B,Red,Social Leauge,8,6,-1H,-2H,+5H,+4N,+1N,+2N,,,,
2025-2026,10/27/2025,Monday Fam,Sleeper,Denver Curling Club,,D,,Social Leauge,8,,,,,,,,,,,
2025-2026,11/3/2025,Monday Fam,Wellen,Denver Curling Club,,C,,Social Leauge,8,,,,,,,,,,,
2025-2026,11/10/2025,Monday Fam,Clark,Denver Curling Club,,C,,Social Leauge,8,,,,,,,,,,,
2025-2026,11/17/2025,Monday Fam,Lee,Denver Curling Club,,A,,Social Leauge,8,,,,,,,,,,,
2025-2026,12/1/2025,Monday Fam,Hannan,Denver Curling Club,,C,,Social Leauge,8,,,,,,,,,,,
2025-2026,12/8/2025,Monday Fam,Bradshaw,Denver Curling Club,,B,,Social Leauge,8,,,,,,,,,,,
2025-2026,12/15/2025,Monday Fam,Ernstberger,Denver Curling Club,,D,,Social Leauge,8,,,,,,,,,,,
2025-2026,1/5/2026,Monday Fam,Langham,Denver Curling Club,,A,,Social Leauge,8,,,,,,,,,,,
2025-2026,1/12/2026,Monday Fam,Thomas,Denver Curling Club,,C,,Social Leauge,8,,,,,,,,,,,
2025-2026,1/19/2026,Monday Fam,Maule,Denver Curling Club,,A,,Social Leauge,8,,,,,,,,,,,
2025-2026,1/26/2026,Monday Fam,Blazing Saddles,Denver Curling Club,,D,,Social Leauge,8,,,,,,,,,,,
2025-2026,2/9/2026,Monday Fam,Cunningham,Denver Curling Club,,D,,Social Leauge,8,,,,,,,,,,,
2025-2026,2/23/2026,Monday Fam,Dunn,Denver Curling Club,,D,,Social Leauge,8,,,,,,,,,,,
2025-2026,3/2/2026,Monday Fam,Devol,Denver Curling Club,,A,,Social Leauge,8,,,,,,,,,,,
2025-2026,10/7/2025,Womens Mix,Rose Sr,Denver Curling Club,Loss,B,Red,Competitive League,8,8,+1H,-1N,-1H,+1H,-4N,+1H,-1N,+1H,,
2025-2026,10/14/2025,Womens Mix,Clark,Denver Curling Club,Loss,C,Red,Competitive League,8,7,-2H,-1H,+1H,0N,-2N,+1H,+1N,,,
2025-2026,10/21/2025,Womens Mix,Bata,Denver Curling Club,Loss,D,Yellow,Competitive League,8,7,-1N,-2H,+2H,-3N,+4H,-1N,-3H,,,
2025-2026,10/28/2025,Womens Mix,Wishart,Denver Curling Club,,A,,Competitive League,8,,,,,,,,,,,
2025-2026,11/4/2025,Womens Mix,Davis,Denver Curling Club,,D,,Competitive League,8,,,,,,,,,,,
2025-2026,11/11/2025,Womens Mix,Kizlyk,Denver Curling Club,,A,,Competitive League,8,,,,,,,,,,,
2025-2026,11/18/2025,Womens Mix,Lewis,Denver Curling Club,,C,,Competitive League,8,,,,,,,,,,,
